Produção Médica  Hospital São Cristóvão (Benner Saúde)
Médico;Procedimento;Data;Quantidade;Valor Apresentado;Glosa;Valor Pago
Dra. Vinícius Assunção;Ultrassonografia;23/03/2025;2;2.735,36;93,25;2.642,11
Dr. Mônica Brandão;Endoscopia;13/03/2025;2;3.009,12;51,96;2.957,16
Dra. Conceição Façanha;Consulta;11/03/2025;4;1.862,96;190,16;1.672,80
Dra. Conceição Brandão;Cirurgia;09/03/2025;3;4.592,49;516,00;4.076,49
Dr. Verônica Assunção;Endoscopia;25/03/2025;6;6.606,54;74,70;6.531,84
Dr. Tâmara Gonçalves;Tomografia;15/03/2025;7;5.912,97;811,85;5.101,12
Dra. Otávio Câmara;Endoscopia;22/03/2025;4;1.950,56;117,58;1.832,98
Dr. Antônio Assunção;Tomografia;03/03/2025;7;5.337,15;430,50;4.906,65
Dr. Cláudia Magalhães;Endoscopia;21/03/2025;8;9.669,60;329,45;9.340,15
Dr. Cecília Assunção;Raio-X;28/03/2025;1;1.281,70;50,78;1.230,92
Dr. Mônica Câmara;Cirurgia;21/03/2025;3;1.047,27;26,10;1.021,17
Dr. Cláudia Brandão;Ultrassonografia;09/03/2025;5;3.535,30;284,75;3.250,55
Dr. Verônica Façanha;Ultrassonografia;17/03/2025;7;8.650,04;945,94;7.704,10
Dr. Inês Gonçalves;Avaliação Pré-Anestésica;04/03/2025;1;1.233,70;60,64;1.173,06
Dra. João Façanha;Tomografia;13/03/2025;5;5.652,55;517,56;5.134,99
Dra. Conceição Gonçalves;Endoscopia;07/03/2025;3;1.892,46;169,95;1.722,51
Dra. Régis Brandão;Ressonância;27/03/2025;2;2.316,14;239,32;2.076,82
Dr. Inês Câmara;Raio-X;19/03/2025;1;396,69;39,19;357,50
Dr. Mônica Câmara;Endoscopia;16/03/2025;2;1.343,52;7,24;1.336,28
Dr. Cecília Assunção;Consulta;06/03/2025;5;5.073,90;306,23;4.767,67
Dr. Letícia Façanha;Cirurgia;04/03/2025;8;9.237,68;165,51;9.072,17
Dra. Vinícius Magalhães;Ressonância;17/03/2025;1;1.009,11;151,92;857,19
Dra. João Magalhães;Consulta;16/03/2025;5;7.370,10;741,63;6.628,47
Dr. Inês Gonçalves;Cirurgia;07/03/2025;2;1.607,18;0,07;1.607,11
Dr. Letícia Câmara;Avaliação Pré-Anestésica;15/03/2025;6;8.520,18;677,11;7.843,07
Dr. Antônio Façanha;Raio-X;10/03/2025;1;1.021,20;36,02;985,18
Dr. Antônio Magalhães;Ressonância;25/03/2025;2;1.262,52;191,44;1.071,08
Dr. Antônio Assunção;Tomografia;01/03/2025;8;7.493,12;783,54;6.709,58
Dr. Tâmara Brandão;Raio-X;16/03/2025;5;3.715,10;580,28;3.134,82
Dr. Cecília Assunção;Consulta;07/03/2025;5;1.493,65;50,86;1.442,79
Dr. Antônio Gonçalves;Ressonância;04/03/2025;5;1.516,30;225,64;1.290,66
Dra. Conceição Câmara;Tomografia;17/03/2025;2;2.951,30;529,46;2.421,84
Dra. Fábio Brandão;Tomografia;10/03/2025;5;4.938,60;107,10;4.831,50
Dr. Tâmara Câmara;Endoscopia;13/03/2025;5;450,70;47,99;402,71
Dra. Sérgio Façanha;Avaliação Pré-Anestésica;24/03/2025;1;447,89;1,56;446,33
Dra. Régis Assunção;Cirurgia;22/03/2025;1;511,60;63,13;448,47
Dra. Conceição Gonçalves;Avaliação Pré-Anestésica;17/03/2025;2;2.674,72;206,11;2.468,61
Dr. Letícia Façanha;Endoscopia;23/03/2025;5;7.631,10;1.171,04;6.460,06
Dra. Fábio Façanha;Cirurgia;28/03/2025;1;1.318,16;147,51;1.170,65
Dr. Cláudia Façanha;Cirurgia;24/03/2025;3;4.582,68;594,38;3.988,30
Dr. Letícia Façanha;Avaliação Pré-Anestésica;03/03/2025;5;833,00;53,84;779,16
Dr. Antônio Gonçalves;Ressonância;05/03/2025;1;1.133,79;145,56;988,23
Dr. Cláudia Gonçalves;Ultrassonografia;07/03/2025;6;539,16;45,13;494,03
Dr. Verônica Câmara;Raio-X;11/03/2025;6;5.880,60;615,90;5.264,70
Dr. Letícia Gonçalves;Cirurgia;02/03/2025;8;9.777,36;689,50;9.087,86
Dr. Tâmara Brandão;Ressonância;05/03/2025;3;540,27;61,22;479,05
Dr. Antônio Magalhães;Tomografia;14/03/2025;4;4.977,28;597,80;4.379,48
Dr. Cláudia Brandão;Tomografia;16/03/2025;5;5.477,00;396,58;5.080,42
Dr. Verônica Gonçalves;Ultrassonografia;23/03/2025;2;894,92;98,74;796,18
Dr. Antônio Façanha;Tomografia;27/03/2025;5;2.116,20;359,37;1.756,83
Dr. Letícia Façanha;Endoscopia;14/03/2025;4;3.973,84;356,40;3.617,44
Dra. Otávio Façanha;Raio-X;20/03/2025;1;1.384,46;40,31;1.344,15
Dr. Verônica Câmara;Consulta;28/03/2025;5;3.234,80;556,96;2.677,84
Dra. João Magalhães;Ultrassonografia;03/03/2025;6;5.119,44;622,96;4.496,48
Dra. João Magalhães;Tomografia;24/03/2025;3;1.958,97;149,91;1.809,06
Dr. Tâmara Façanha;Avaliação Pré-Anestésica;24/03/2025;1;1.342,48;230,71;1.111,77
Dr. Inês Façanha;Endoscopia;12/03/2025;4;4.488,40;193,89;4.294,51
Dra. Otávio Gonçalves;Consulta;25/03/2025;8;6.239,60;1.119,19;5.120,41
Dra. Gonçalo Gonçalves;Ultrassonografia;16/03/2025;5;4.524,65;525,97;3.998,68
Dra. Otávio Brandão;Tomografia;12/03/2025;5;539,75;90,33;449,42
Dr. Antônio Façanha;Cirurgia;13/03/2025;8;7.961,44;893,07;7.068,37
Dr. Antônio Brandão;Ressonância;02/03/2025;2;279,38;30,35;249,03
Dr. Tâmara Façanha;Cirurgia;28/03/2025;5;7.534,30;544,54;6.989,76
Dr. Letícia Gonçalves;Cirurgia;24/03/2025;5;2.988,70;163,20;2.825,50
Dr. Cláudia Assunção;Ressonância;05/03/2025;2;2.597,82;264,20;2.333,62
Dr. Mônica Brandão;Cirurgia;27/03/2025;6;4.608,42;110,82;4.497,60
Dr. Cecília Gonçalves;Endoscopia;25/03/2025;8;4.146,72;531,79;3.614,93
Dra. Vinícius Magalhães;Tomografia;18/03/2025;7;8.322,79;995,20;7.327,59
Dra. Conceição Gonçalves;Endoscopia;27/03/2025;8;3.112,40;447,22;2.665,18
Dra. Otávio Câmara;Consulta;11/03/2025;1;1.306,96;73,64;1.233,32
Dra. Otávio Assunção;Cirurgia;28/03/2025;8;12.114,32;233,51;11.880,81
Dr. Mônica Magalhães;Raio-X;24/03/2025;3;666,78;107,04;559,74
Dra. Conceição Assunção;Consulta;02/03/2025;4;4.198,44;405,60;3.792,84
Dr. Cecília Assunção;Consulta;03/03/2025;1;1.575,91;103,66;1.472,25
Dr. Antônio Façanha;Endoscopia;18/03/2025;2;813,82;15,68;798,14
Dr. Cláudia Magalhães;Raio-X;25/03/2025;3;4.714,74;808,39;3.906,35
Dra. Sérgio Brandão;Ressonância;21/03/2025;4;2.446,88;146,24;2.300,64
Dr. Cecília Câmara;Ressonância;07/03/2025;2;3.091,00;165,40;2.925,60
Dr. Cláudia Brandão;Cirurgia;17/03/2025;7;2.599,80;206,14;2.393,66
Dr. Cláudia Façanha;Consulta;15/03/2025;4;3.874,00;97,39;3.776,61
Dr. Cecília Gonçalves;Ressonância;27/03/2025;2;163,86;13,47;150,39
Dr. Antônio Câmara;Tomografia;22/03/2025;6;2.655,60;75,21;2.580,39
Dr. Letícia Assunção;Endoscopia;12/03/2025;7;10.236,73;1.806,99;8.429,74
Dra. Sérgio Façanha;Raio-X;20/03/2025;6;1.072,86;47,22;1.025,64
Dr. Letícia Assunção;Ressonância;02/03/2025;3;469,83;62,29;407,54
Dr. Verônica Assunção;Raio-X;14/03/2025;2;1.995,92;273,33;1.722,59
Dra. João Brandão;Ultrassonografia;18/03/2025;3;1.695,21;225,25;1.469,96
Dra. Sérgio Brandão;Tomografia;11/03/2025;4;2.678,40;140,43;2.537,97
Dr. Mônica Façanha;Ressonância;28/03/2025;7;4.990,51;205,36;4.785,15
Dr. Inês Assunção;Endoscopia;16/03/2025;4;2.744,88;189,04;2.555,84
Dr. Tâmara Façanha;Raio-X;14/03/2025;2;1.979,50;247,90;1.731,60
Dra. Otávio Gonçalves;Tomografia;09/03/2025;1;136,21;21,65;114,56
Dr. Mônica Gonçalves;Ultrassonografia;11/03/2025;5;5.255,05;194,88;5.060,17
Dr. Cláudia Magalhães;Tomografia;25/03/2025;7;1.205,75;165,14;1.040,61
Dra. Régis Brandão;Endoscopia;10/03/2025;1;130,67;15,36;115,31
Dra. Gonçalo Assunção;Ultrassonografia;26/03/2025;2;1.146,50;204,33;942,17
Dr. Cláudia Brandão;Endoscopia;26/03/2025;3;4.676,88;504,89;4.171,99
Dra. Gonçalo Câmara;Endoscopia;23/03/2025;6;6.663,96;1.108,32;5.555,64
Dr. Cecília Brandão;Ultrassonografia;23/03/2025;4;6.188,56;564,84;5.623,72
Dra. Gonçalo Assunção;Cirurgia;04/03/2025;2;3.127,60;293,59;2.834,01
Dra. Conceição Façanha;Consulta;24/03/2025;6;4.437,60;349,61;4.087,99
Dra. Sérgio Brandão;Ultrassonografia;14/03/2025;1;1.251,58;86,41;1.165,17
Dr. Tâmara Magalhães;Raio-X;22/03/2025;4;1.035,60;151,73;883,87
Dr. Letícia Brandão;Ultrassonografia;05/03/2025;6;8.469,78;401,55;8.068,23
Dra. Gonçalo Gonçalves;Avaliação Pré-Anestésica;02/03/2025;8;6.146,88;92,73;6.054,15
Dr. Verônica Gonçalves;Consulta;15/03/2025;1;1.441,05;57,63;1.383,42
Dr. Antônio Brandão;Ultrassonografia;06/03/2025;4;5.926,96;1.026,22;4.900,74
Dr. Cláudia Câmara;Cirurgia;27/03/2025;6;1.284,66;62,22;1.222,44
Dra. Sérgio Assunção;Consulta;06/03/2025;5;6.228,90;1.098,14;5.130,76
Dr. Letícia Gonçalves;Ultrassonografia;05/03/2025;2;2.779,16;44,14;2.735,02
Dr. Inês Assunção;Tomografia;03/03/2025;2;784,24;46,34;737,90
Dra. Sérgio Façanha;Avaliação Pré-Anestésica;07/03/2025;1;930,28;164,53;765,75
Dra. João Câmara;Ultrassonografia;27/03/2025;1;956,06;15,71;940,35
Dra. Sérgio Gonçalves;Ressonância;14/03/2025;8;8.436,16;1.124,86;7.311,30
Dra. Otávio Gonçalves;Avaliação Pré-Anestésica;28/03/2025;7;2.194,36;65,64;2.128,72
Dra. Sérgio Brandão;Endoscopia;20/03/2025;4;4.379,04;176,15;4.202,89
Subtotal Março;;;;1.564.710,23;141.528,97;1.423.181,26
TOTAL GERAL;;;;1.564.710,23;141.528,97;1.423.181,26
